trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 1.0}",30,10,-56.25131632228734,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",1
2,False,"{'a': 0.1, 'e': 0.9999718751318357}",20,0,-60.991716549099394,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.1, 'e': 0.9998875021093592}",20,0,-50.416563427106205,"{0: 11, 1: 6, 2: 3, 3: 0, 4: 0}",0
4,False,"{'a': 0.1, 'e': 0.9997468856785308}",30,0,-105.51877426623587,"{0: 19, 1: 3, 2: 7, 3: 0, 4: 1}",0
5,False,"{'a': 0.1, 'e': 0.9995500337489875}",25,0,-227.88827654841967,"{0: 13, 1: 2, 2: 5, 3: 1, 4: 4}",0
6,False,"{'a': 0.1, 'e': 0.9992969573935987}",25,0,-88.59006537358144,"{0: 15, 1: 4, 2: 4, 3: 2, 4: 0}",0
7,False,"{'a': 0.1, 'e': 0.9989876708478425}",20,0,-87.16258037636213,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
8,False,"{'a': 0.1, 'e': 0.9986221915090054}",20,1,2.629660954940852,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
9,False,"{'a': 0.1, 'e': 0.9982005399352042}",25,0,-139.67901315427272,"{0: 13, 1: 2, 2: 8, 3: 1, 4: 1}",0
10,False,"{'a': 0.1, 'e': 0.9977227398442284}",30,0,-159.6246616123901,"{0: 19, 1: 4, 2: 4, 3: 0, 4: 3}",0
11,False,"{'a': 0.1, 'e': 0.9971888181122075}",20,0,-84.2386608261009,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
12,False,"{'a': 0.1, 'e': 0.9965988047720977}",25,5,-97.0124092723691,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",1
13,False,"{'a': 0.1, 'e': 0.9959527330119943}",20,0,-48.40038135707667,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
14,False,"{'a': 0.1, 'e': 0.9952506391732631}",25,0,-156.17496389744,"{0: 15, 1: 0, 2: 6, 3: 2, 4: 2}",0
15,False,"{'a': 0.1, 'e': 0.9944925627484974}",30,0,-232.917753370046,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 5}",0
16,False,"{'a': 0.1, 'e': 0.9936785463792964}",30,0,-179.8707780253535,"{0: 18, 1: 2, 2: 7, 3: 0, 4: 3}",0
17,False,"{'a': 0.1, 'e': 0.9928086358538663}",20,0,-100.70406269806656,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
18,False,"{'a': 0.1, 'e': 0.9918828801044445}",20,0,-127.74966266611344,"{0: 7, 1: 5, 2: 7, 3: 0, 4: 1}",0
19,False,"{'a': 0.1, 'e': 0.9909013312045479}",25,0,-56.77422698460686,"{0: 15, 1: 5, 2: 5, 3: 0, 4: 0}",0
20,False,"{'a': 0.1, 'e': 0.9898640443660435}",20,9,-9.065401848296483,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
21,False,"{'a': 0.1, 'e': 0.9887710779360422}",20,0,-198.2750753065515,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 4}",0
22,False,"{'a': 0.1, 'e': 0.9876224933936179}",30,0,-183.42508323413713,"{0: 16, 1: 5, 2: 6, 3: 0, 4: 3}",0
23,False,"{'a': 0.1, 'e': 0.9864183553463477}",20,0,-156.09650046223052,"{0: 7, 1: 7, 2: 3, 3: 1, 4: 2}",0
24,False,"{'a': 0.1, 'e': 0.9851587315266797}",25,3,-93.65440063357012,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 2}",1
25,False,"{'a': 0.1, 'e': 0.9838436927881214}",25,0,-225.20630167701148,"{0: 12, 1: 3, 2: 6, 3: 0, 4: 4}",0
26,False,"{'a': 0.1, 'e': 0.9824733131012553}",20,0,-89.23749109601552,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
27,False,"{'a': 0.1, 'e': 0.9810476695495772}",30,0,-101.44958616261198,"{0: 19, 1: 4, 2: 6, 3: 0, 4: 1}",0
28,False,"{'a': 0.1, 'e': 0.9795668423251612}",25,0,-69.02292771159057,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
29,False,"{'a': 0.1, 'e': 0.9780309147241483}",20,0,-44.02259402293259,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
30,False,"{'a': 0.1, 'e': 0.9764399731420608}",20,0,-162.29395750230123,"{0: 11, 1: 1, 2: 3, 3: 3, 4: 2}",0
31,False,"{'a': 0.1, 'e': 0.9747941070689433}",20,0,-37.756829246853215,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
32,False,"{'a': 0.1, 'e': 0.9730934090843285}",25,0,-81.97055517901491,"{0: 16, 1: 5, 2: 2, 3: 1, 4: 1}",0
33,False,"{'a': 0.1, 'e': 0.9713379748520297}",20,0,-151.25124924372886,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
34,False,"{'a': 0.1, 'e': 0.9695279031147593}",20,0,-156.0436919721414,"{0: 7, 1: 5, 2: 6, 3: 0, 4: 2}",0
35,False,"{'a': 0.1, 'e': 0.9676632956885756}",25,0,-186.86898338547374,"{0: 11, 1: 3, 2: 8, 3: 1, 4: 2}",0
36,False,"{'a': 0.1, 'e': 0.9657442574571544}",30,0,-236.53402812768084,"{0: 15, 1: 3, 2: 8, 3: 0, 4: 4}",0
37,False,"{'a': 0.1, 'e': 0.9637708963658905}",30,0,-151.36593027241798,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
38,False,"{'a': 0.1, 'e': 0.9617433234158248}",30,0,-48.42974001872214,"{0: 21, 1: 4, 2: 5, 3: 0, 4: 0}",0
39,False,"{'a': 0.1, 'e': 0.9596616526574011}",25,7,-102.08679985060097,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 2}",1
40,False,"{'a': 0.1, 'e': 0.9575260011840507}",25,0,-135.393658310006,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
41,False,"{'a': 0.1, 'e': 0.955336489125606}",30,0,-180.43217912424427,"{0: 17, 1: 5, 2: 5, 3: 0, 4: 3}",0
42,False,"{'a': 0.1, 'e': 0.9530932396415428}",20,0,-31.595677178121857,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
43,False,"{'a': 0.1, 'e': 0.9507963789140532}",20,0,-19.005278403967953,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
44,False,"{'a': 0.1, 'e': 0.9484460361409476}",30,0,-108.39200979269259,"{0: 16, 1: 9, 2: 4, 3: 0, 4: 1}",0
45,False,"{'a': 0.1, 'e': 0.946042343528387}",25,0,-170.88552859107108,"{0: 13, 1: 1, 2: 8, 3: 1, 4: 2}",0
46,False,"{'a': 0.1, 'e': 0.9435854362834473}",20,0,-1.2159585927026701,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
47,False,"{'a': 0.1, 'e': 0.941075452606513}",20,0,-138.22084561259052,"{0: 9, 1: 5, 2: 4, 3: 0, 4: 2}",0
48,False,"{'a': 0.1, 'e': 0.9385125336835043}",25,0,-190.81333990605893,"{0: 13, 1: 1, 2: 8, 3: 0, 4: 3}",0
49,False,"{'a': 0.1, 'e': 0.9358968236779348}",20,0,-83.58981591693409,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
50,False,"{'a': 0.1, 'e': 0.9332284697228027}",30,14,-70.26567841474392,"{0: 10, 1: 3, 2: 1, 3: 1, 4: 1}",1
51,False,"{'a': 0.1, 'e': 0.9305076219123143}",30,16,-82.81136946916266,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 2}",1
52,False,"{'a': 0.1, 'e': 0.9277344332934415}",20,0,-103.08801197404875,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
53,False,"{'a': 0.1, 'e': 0.9249090598573131}",25,0,-97.97460179600901,"{0: 13, 1: 6, 2: 3, 3: 3, 4: 0}",0
54,False,"{'a': 0.1, 'e': 0.9220316605304396}",25,0,-55.43506317905751,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
55,False,"{'a': 0.1, 'e': 0.9191023971657747}",30,0,-182.20240758040188,"{0: 16, 1: 2, 2: 9, 3: 1, 4: 2}",0
56,False,"{'a': 0.1, 'e': 0.9161214345336103}",25,0,-88.00501111779566,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
57,False,"{'a': 0.1, 'e': 0.9130889403123083}",25,0,-102.30618726663695,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
58,False,"{'a': 0.1, 'e': 0.9100050850788691}",25,0,-118.31028930838721,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
59,False,"{'a': 0.1, 'e': 0.9068700422993367}",35,0,-116.74221988047645,"{0: 22, 1: 3, 2: 9, 3: 0, 4: 1}",0
60,False,"{'a': 0.1, 'e': 0.9036839883190404}",20,0,-43.15751494449124,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
61,False,"{'a': 0.1, 'e': 0.9004471023526769}",30,3,-107.6138897401035,"{0: 18, 1: 0, 2: 7, 3: 1, 4: 1}",1
62,False,"{'a': 0.1, 'e': 0.8971595664742282}",20,4,-33.32368524754774,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 1}",1
63,False,"{'a': 0.1, 'e': 0.8938215656067205}",20,0,-25.519983927455673,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
64,False,"{'a': 0.1, 'e': 0.8904332875118228}",25,0,-153.82731005553538,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 3}",0
65,False,"{'a': 0.1, 'e': 0.8869949227792842}",30,0,-256.3224835709674,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 5}",0
66,False,"{'a': 0.1, 'e': 0.8835066648162144}",20,0,-131.19726160896118,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
