trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-107.03982773634428,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-111.73488967406217,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-122.73850262724066,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-147.27419914043892,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,3,-121.43494306082574,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 2}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-88.35505732933323,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-64.91573724959855,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,12,-70.70848279848711,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 2}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-147.75623667860114,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-113.26564903103142,"{0: 15, 1: 0, 2: 9, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-198.7865100637392,"{0: 16, 1: 1, 2: 3, 3: 1, 4: 4}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-21.9551866667871,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,11,6.553604608159295,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-108.56671559537133,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-32.242040856845726,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-54.22510228441069,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-64.14903438866043,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,0,-96.16434740860167,"{0: 19, 1: 5, 2: 5, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,3,-127.54710561680392,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 2}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-75.8188530410089,"{0: 11, 1: 0, 2: 9, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,0,-60.66355142291215,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",25,0,-28.091386530054148,"{0: 18, 1: 5, 2: 2, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,0,-65.24718026010541,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",25,0,-168.1527359497599,"{0: 14, 1: 6, 2: 1, 3: 1, 4: 3}",0
5,True,"{'a': 0, 'e': 0}",25,0,-63.84168720727259,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,0,-117.3663707261922,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",35,0,-326.9225211817883,"{0: 14, 1: 6, 2: 9, 3: 1, 4: 5}",0
8,True,"{'a': 0, 'e': 0}",25,0,-161.95116387008474,"{0: 16, 1: 0, 2: 6, 3: 0, 4: 3}",0
9,True,"{'a': 0, 'e': 0}",20,0,-159.6312225818388,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
10,True,"{'a': 0, 'e': 0}",20,0,-127.0746978399142,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
